Series Name,Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Government expenditure on education, total (% of government expenditure)",Afghanistan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14.55921173,10.8146925,4.86058569,6.492490292,6.395579815,5.146921635,6.489447594,7.13206768,7.964570045,7.284904957,8.260235786,8.202471733,..,..,..,..,..
"Government expenditure on education, total (% of government expenditure)",Albania,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11.3716507,10.7679863,11.07501793,10.79070854,..,11.48573399,11.10684299,11.62699509,11.58003235,10.98846054,10.44102383,10.82978725,10.57019043,10.97069645,11.40017986,10.1343832,9.833778381,..
"Government expenditure on education, total (% of government expenditure)",Algeria,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11.02075958,..,17.76915741,17.56471634,15.98372555,17.64603424,16.46920204,15.20296097,16.11104393,17.55607224,14.94934559,14.4630928,16.54917145,16.05069733,13.10150623
"Government expenditure on education, total (% of government expenditure)",Andorra,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,22.12785912,16.93987083,17.84432983,12.77538013,12.06085968,12.38070011,9.84161377,5.672309875,12.55405045,10.39249992,7.215240002,8.977999687,13.25881004,10.39807987,6.938821316,6.350282192,6.605959892
"Government expenditure on education, total (% of government expenditure)",Angola,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.114679813,..,5.255080223,..,..,..,..,7.992350101,7.454790115,..,..,11.46000004,8.68476963,8.960000038,8.370432854,8.826971054,7.130000114,8.918776512,6.550973892,6.763776779,5.410232067,6.045355797,6.467226505,6.919610023,6.640471935
"Government expenditure on education, total (% of government expenditure)",Antigua and Barbuda,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12.43941021,..,..,11.70153999,..,..,..,..,..,..,6.928140163,..,..,10.14325619,10.73023415,9.850485802,7.761352539,7.650782108,7.602334976,8.541787148,9.450580597,9.273509026,10.40933704,10.2994957
"Government expenditure on education, total (% of government expenditure)",Argentina,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,15.39877033,..,15.62125969,15.87753963,16.22615051,16.35596085,16.44220924,14.35472012,15.13930035,15.8031702,15.50984001,15.10157013,15.74783993,16.02066994,15.04796982,15.1585598,14.51826,14.45792961,13.79932976,13.96331024,13.35554028,13.26391983,12.52334023,12.5300703,12.42228985,12.28489971,..
"Government expenditure on education, total (% of government expenditure)",Armenia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8.749751091,..,..,..,8.891125679,8.988576889,10.00509262,9.572380066,9.667304039,..
"Government expenditure on education, total (% of government expenditure)",Aruba,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,22.08238983,19.28166008,21.80771065,21.32317924,19.75715065,..,14.90291023,18.88828087,..,20.79264069,19.02882957,21.56355095,22.1767807,21.75053978,20.63408089,21.87763023,19.61797905,23.20137978,21.85375023,..,..,..,..,..,..
"Government expenditure on education, total (% of government expenditure)",Australia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14.12623692,14.42712498,15.13696575,15.52206612,15.5881443,15.48396778,15.79487514,15.5906086,15.06103611,15.04297924,14.76415539,17.07881927,17.08817291,15.35714149,15.52333736,14.99418068,14.84308624,14.84867477,14.80565262,15.06294918,15.2451992,14.38820934,13.131423,..
"Government expenditure on education, total (% of government expenditure)",Austria,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9.900216103,9.884145737,10.37141228,10.23663616,10.33584023,10.2170248,10.10911369,10.1529274,10.26278591,9.150461197,9.399205208,9.533905029,9.526359558,9.722205162,9.458568573,9.693655014,9.803499222,9.770256996,9.733651161,9.422001839,9.650598526,9.778713226,9.819505692,9.811909676,9.89050293,8.964636803,8.846643448,..
"Government expenditure on education, total (% of government expenditure)",Azerbaijan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8.504220963,10.04566574,9.186688423,7.776549816,7.737988949,7.118692398,7.699596882,8.266283035,9.445950508,7.820628166,8.454236031,8.593153,9.802010536,10.78862762,13.00018597
"Government expenditure on education, total (% of government expenditure)","Bahamas, The",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,18.76528931,..,..,..,..,..,..,..,..,..,12.49522591,12.36150169,13.04373074,12.14246655,12.72033882,12.44509983,12.10355473,11.7079401,12.67876911,11.2915163,12.18192577,12.2822628,11.44193172
"Government expenditure on education, total (% of government expenditure)",Bahrain,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11.91866016,11.02672958,10.55867004,..,..,..,8.179829597,7.458600044,8.684029579,7.32818985,10.71635151,7.223849773,10.82443714,9.869101524,9.366903305,9.080582619,9.295536041
"Government expenditure on education, total (% of government expenditure)",Bangladesh,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.263599873,6.634029865,6.394110203,6.473259926,8.087619781,8.388629913,9.130049706,10.46842957,..,..,11.19102955,11.06210041,12.53666973,12.11384964,..,..,..,15.19686985,..,18.12978935,20.49041939,18.58477974,15.69379997,16.68162918,15.95312023,..,17.33653069,18.15340042,17.81619072,14.02987003,..,16.79397011,12.27794361,11.81209469,13.30632782,12.04410267,13.98173618,13.85498238,11.95792007,11.32936764,10.38743782,10.22130299,11.73428822
"Government expenditure on education, total (% of government expenditure)",Barbados,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,21.16819954,22.15035057,26.88882065,24.72448921,18.58456039,18.61813927,18.24297905,..,17.22097015,15.71065044,16.10058022,18.09633064,..,16.70269012,14.84482002,17.45105934,18.51855278,13.36244965,12.87915039,16.35857201,13.85986042,16.14246941,14.84473038,12.72329998
"Government expenditure on education, total (% of government expenditure)",Belarus,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,13.96971226,14.35278988,14.26339626,14.29337883,13.0917244,12.12493229,12.1798172,13.43798161,14.53167248,13.08640671,12.77383041,13.52054405,13.05056095,13.57799625,12.97870255,13.26404095,13.07826328,12.87037563,..,..
